sample	evt	verdict	pair_key	recv_shower_id	recv_sh_pdg	recv_seg_pdg	recv_seg_id	recv_end_x	recv_far_x	recv_len	recv_dqdx_mip	recv_chi2	recv_straight	partner_kind	partner_sh_pdg	partner_seg_pdg	partner_seg_id	partner_end_x	partner_far_x	partner_len	partner_dqdx_mip	partner_chi2	partner_straight	partner_zerofrac	gap_cm	a_gap_deg	a_tan_deg	waived	same_clus
mcp1k	169626	receiver_type	53052-53057	4	11	11	53052	-5.97	-1.84	8.8	1.133	3.32	0.851	bare	-1	2212	53057	-3.36	-6.42	14.0	2.658	2.26	0.961	0.000	19.0	35.2	143.7	0	1
mcp1k	169626	receiver_type	53052-53057	4	11	11	53052	-1.84	-5.97	8.8	1.133	3.32	0.851	bare	-1	2212	53057	-3.36	-6.42	14.0	2.658	2.26	0.961	0.000	24.8	134.2	60.4	0	1
mcp1k	169626	receiver_type	53056-53057	4	11	11	53056	-5.97	-6.42	6.6	1.902	5.35	0.956	bare	-1	2212	53057	-3.36	-6.42	14.0	2.658	2.26	0.961	0.000	19.0	154.1	36.0	0	1
mcp1k	169626	receiver_type	53057-53061	4	11	11	53061	-5.97	-7.24	14.0	0.674	4.33	0.750	bare	-1	2212	53057	-3.36	-6.42	14.0	2.658	2.26	0.961	0.000	19.0	67.4	122.5	0	1
mcp1k	282231	receiver_type	19000-23002	1	2212	2212	23002	2.00	3.90	8.0	3.780	4.37	0.825	bare	-1	13	19000	-0.54	-10.92	51.7	1.421	1.77	0.964	0.000	34.1	35.0	34.0	0	0
mcp1k	282231	receiver_type	19000-23002	1	2212	2212	23002	3.90	2.00	8.0	3.780	4.37	0.825	bare	-1	13	19000	-0.54	-10.92	51.7	1.421	1.77	0.964	0.000	39.5	145.4	140.4	0	0
mcp1k	287654	receiver_type	12001-12004	0	11	11	12004	-3.49	-3.58	5.7	1.293	3.82	0.988	bare	-1	211	12001	-4.67	-8.45	55.6	1.348	2.70	0.943	0.000	55.2	39.8	138.2	0	1
mcp1k	287654	receiver_type	12003-12004	0	11	11	12004	-3.49	-3.58	5.7	1.293	3.82	0.988	bare	-1	211	12003	-3.49	-8.45	6.6	2.213	3.40	0.917	0.000	0.0	181.0	83.4	0	1
mcp1k	287654	receiver_type	12001-12004	0	11	11	12004	-3.58	-3.49	5.7	1.293	3.82	0.988	bare	-1	211	12001	-4.67	-8.45	55.6	1.348	2.70	0.943	0.000	59.6	142.5	43.7	0	1
mcp1k	287654	receiver_type	12003-12004	0	11	11	12004	-3.58	-3.49	5.7	1.293	3.82	0.988	bare	-1	211	12003	-3.49	-8.45	6.6	2.213	3.40	0.917	0.000	5.7	178.2	98.7	0	1
mcp1k	289559	angle_gap	14005-14007	0	13	13	14007	-2.68	38.26	99.3	1.132	1.23	0.975	bare	-1	211	14005	1.99	-2.68	12.6	1.634	3.16	0.977	0.000	12.4	145.0	33.0	0	1
mcp1k	289559	angle_gap	14007-14009	0	13	13	14007	-2.68	38.26	99.3	1.132	1.23	0.975	bare	-1	2212	14009	-2.68	-5.46	5.3	4.284	3.24	0.919	0.000	0.0	181.0	66.7	0	1
mcp1k	289559	angle_gap	14007-14009	0	13	13	14007	-2.68	38.26	99.3	1.132	1.23	0.975	bare	-1	2212	14009	-5.46	-2.68	5.3	4.284	3.24	0.919	0.000	4.8	69.3	108.0	0	1
mcp1k	289559	partner_type	14007-42012	0	13	13	14007	-2.68	38.26	99.3	1.132	1.23	0.975	shower	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	0.000	21.5	135.4	137.9	0	0
mcp1k	289559	receiver_type	14005-42012	3	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	211	14005	-2.68	1.99	12.6	1.634	3.16	0.977	0.000	21.5	11.4	170.9	0	0
mcp1k	289559	receiver_type	14005-42012	3	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	211	14005	1.99	-2.68	12.6	1.634	3.16	0.977	0.000	9.5	21.5	11.4	0	0
mcp1k	289559	receiver_type	14007-42012	3	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	shower	13	13	14007	-2.68	38.26	99.3	1.132	1.23	0.975	0.000	21.5	11.4	137.9	0	0
mcp1k	289559	receiver_type	14009-42012	3	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14009	-2.68	-5.46	5.3	4.284	3.24	0.919	0.000	21.5	11.4	52.9	0	0
mcp1k	289559	receiver_type	14009-42012	3	2212	2212	42012	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14009	-5.46	-2.68	5.3	4.284	3.24	0.919	0.000	25.2	19.1	121.7	0	0
