# doc pdhd/12 -- STM + Michel hand-scan sheet, det=pdhd arm=d53h
# NO verdict, NO stratum, NO chain flag: those are in the KEY.
# tranche INHERITED from HEAD:pdhd/docs/scan/pdhd_stm_michel_scan_sheet.tsv -- NOT drawn here (--pin-tranche).
# That draw was seed=20260907, tranche1=60, S1 cap 24, floor 8, stratified
# on ITS arm's is_stm/michel_found -- deliberately the PRE-doc-15
# meaning of michel_found, so the sample does not move with the
# quantity it measures.  0 key(s) absent from it are tranche 2.
scan_id	tranche	event	cluster	npts	muon_len_cm	n_near	n_far
3	1	028084_0	97	105	62.03	1040	7606
9	1	028084_1	39	290	180.99	562	7655
12	1	028084_1	142	337	201.38	1706	7579
14	1	028084_10	108	326	196.17	1826	7666
17	1	028084_11	59	325	193.69	1640	7473
21	1	028084_12	36	340	202.24	2479	7686
35	1	028084_15	102	284	169.02	1357	7702
39	1	028084_17	29	369	216.44	1833	7749
40	1	028084_17	35	622	372.34	3804	7585
42	1	028084_17	55	606	367.21	4975	7488
43	1	028084_17	97	594	355.33	4364	7539
49	1	028084_18	108	140	88.94	876	7775
53	1	028084_2	19	567	344.74	2506	7752
64	1	028084_20	124	380	229.01	4541	7850
79	1	028084_23	51	582	348.22	3651	7727
82	1	028084_23	114	355	210.99	3046	7770
87	1	028084_24	103	676	405.6	3900	7661
94	1	028084_26	109	83	49.47	636	7449
101	1	028084_27	57	221	139.7	2654	7824
108	1	028084_29	38	70	39.61	613	7698
115	1	028084_3	27	328	198.25	2671	7789
122	1	028084_30	37	717	429.16	4085	7645
124	1	028084_30	111	249	144.01	1109	7916
128	1	028084_4	41	396	236.71	2465	7842
129	1	028084_4	114	494	295.14	5327	7691
142	1	028084_7	56	652	390.72	3338	7961
152	1	029107_0	50	289	172.89	1322	7707
153	1	029107_0	56	26	53.26	100	7794
155	1	029107_0	127	68	40.33	477	7767
163	1	029107_10	50	220	127.14	3171	7677
168	1	029107_11	33	315	192.34	2396	7779
171	1	029107_11	90	468	280.11	4611	7594
176	1	029107_12	108	842	507.52	9490	7622
177	1	029107_12	110	317	191.1	1596	7635
182	1	029107_14	89	176	104.62	2363	7895
187	1	029107_15	142	180	106.44	904	7811
190	1	029107_16	106	625	372.79	5639	7862
191	1	029107_16	108	388	230.98	3152	7981
204	1	029107_19	95	1122	676.59	8267	7943
206	1	029107_19	111	189	122.35	1108	7877
207	1	029107_19	120	266	157.8	2108	7794
213	1	029107_20	22	188	114.38	2665	7504
221	1	029107_21	41	181	107.44	1017	7519
229	1	029107_22	46	93	55.39	1166	7891
232	1	029107_23	55	52	31.21	508	7295
241	1	029107_25	89	865	516.33	7030	7887
245	1	029107_25	123	460	282.78	5724	7960
246	1	029107_26	27	249	148.69	1591	7614
248	1	029107_26	43	163	93.44	1305	7628
251	1	029107_26	87	118	70.52	815	7652
253	1	029107_27	39	104	62.11	1981	7945
263	1	029107_3	23	200	123.92	1897	7682
268	1	029107_3	111	551	329.77	5647	7963
270	1	029107_4	56	124	84.65	441	7887
275	1	029107_4	123	380	222.11	2968	7739
278	1	029107_5	32	326	195.4	8088	7655
285	1	029107_6	97	533	317.8	4272	7502
289	1	029107_7	34	754	452.2	9381	7519
299	1	029107_9	61	1035	633.71	20025	7397
302	1	029107_9	115	392	238.15	3831	7490
1	2	028084_0	35	763	456.56	3960	7996
2	2	028084_0	43	232	142.4	1007	7608
4	2	028084_0	108	169	100.79	969	7611
5	2	028084_0	117	556	332.72	2827	7468
6	2	028084_1	25	89	53.23	905	7632
7	2	028084_1	28	53	30.36	2103	7552
8	2	028084_1	33	753	455.39	665	7648
10	2	028084_1	48	66	37.31	588	7653
11	2	028084_1	53	307	200.52	917	7631
13	2	028084_10	46	271	162.18	1170	7709
15	2	028084_10	109	978	589.5	6949	7847
16	2	028084_11	34	450	263.79	4060	7894
18	2	028084_11	110	257	152.56	1316	7498
19	2	028084_11	116	697	418.0	5565	7769
20	2	028084_11	130	122	71.85	1256	7502
22	2	028084_12	46	308	181.76	2850	7663
23	2	028084_12	76	503	300.67	3236	7638
24	2	028084_12	101	745	449.59	5223	7514
25	2	028084_12	117	157	93.5	995	7779
26	2	028084_12	131	46	54.73	690	7798
27	2	028084_13	109	344	208.72	1847	7217
28	2	028084_13	119	68	39.74	638	7338
29	2	028084_14	20	124	73.57	659	7285
30	2	028084_14	29	261	156.34	179	7338
31	2	028084_14	83	790	488.07	4318	7738
32	2	028084_15	28	93	54.72	2678	7636
33	2	028084_15	31	64	34.7	261	7757
34	2	028084_15	50	423	253.98	956	7722
36	2	028084_16	100	322	191.57	1907	7617
37	2	028084_16	106	739	448.62	5455	7888
38	2	028084_16	110	243	145.7	1561	7639
41	2	028084_17	38	83	126.29	234	7883
44	2	028084_17	110	128	75.95	1535	7774
45	2	028084_17	113	226	133.24	1480	7779
46	2	028084_18	17	182	131.44	906	7774
47	2	028084_18	50	470	278.48	4303	7920
48	2	028084_18	104	590	351.15	3970	7931
50	2	028084_18	122	318	194.92	2704	7973
51	2	028084_19	59	471	282.32	1929	7722
52	2	028084_19	61	91	54.42	512	7823
54	2	028084_2	26	99	59.57	1040	7810
55	2	028084_2	27	118	67.84	1917	7775
56	2	028084_2	49	256	152.82	2759	7741
57	2	028084_2	116	262	157.01	5156	7964
58	2	028084_20	20	408	260.46	1180	7505
59	2	028084_20	26	203	124.88	1920	7448
60	2	028084_20	39	408	241.35	2147	7430
61	2	028084_20	65	103	61.34	2134	7431
62	2	028084_20	107	189	112.39	1182	7505
63	2	028084_20	116	323	193.43	1798	7457
65	2	028084_21	17	102	59.82	1897	7502
66	2	028084_21	26	1052	635.05	16164	7558
67	2	028084_21	55	303	180.2	2410	7467
68	2	028084_21	56	458	274.33	2372	7470
69	2	028084_21	120	571	348.05	3138	7949
70	2	028084_21	128	438	259.93	1645	7518
71	2	028084_21	132	343	206.42	6875	7682
72	2	028084_21	134	473	284.46	2781	7974
73	2	028084_22	44	489	292.59	2463	7689
74	2	028084_22	57	434	259.27	2336	7699
75	2	028084_22	103	80	47.4	545	7848
76	2	028084_23	35	1005	602.07	5758	7576
77	2	028084_23	45	971	604.91	13883	7534
78	2	028084_23	46	119	71.96	450	7955
80	2	028084_23	53	95	55.57	813	7929
81	2	028084_23	113	143	88.14	1282	7896
83	2	028084_23	122	112	65.7	645	7941
84	2	028084_24	47	27	46.59	108	7833
85	2	028084_24	49	446	267.2	3484	7680
86	2	028084_24	52	117	69.67	4052	7654
88	2	028084_24	114	82	47.67	480	7816
89	2	028084_25	28	233	137.52	1263	7789
90	2	028084_25	36	316	186.43	2450	7698
