# doc pdhd/12 -- STM + Michel hand-scan sheet, det=pdvd arm=d53v
# NO verdict, NO stratum, NO chain flag: those are in the KEY.
# tranche INHERITED from HEAD:pdvd/docs/scan/pdvd_stm_michel_scan_sheet.tsv -- NOT drawn here (--pin-tranche).
# That draw was seed=20260907, tranche1=60, S1 cap 24, floor 8, stratified
# on ITS arm's is_stm/michel_found -- deliberately the PRE-doc-15
# meaning of michel_found, so the sample does not move with the
# quantity it measures.  0 key(s) absent from it are tranche 2.
scan_id	tranche	event	cluster	npts	muon_len_cm	n_near	n_far
4	1	039252_0	77	211	125.7	1108	7196
27	1	039252_15	77	189	113.08	1873	7611
30	1	039252_15	91	302	180.5	5677	7835
34	1	039252_16	88	505	304.52	1859	7820
47	1	039252_2	83	51	30.11	15603	7876
52	1	039252_3	40	442	264.9	3156	7699
55	1	039252_3	74	152	87.75	1854	7786
66	1	039252_6	114	361	224.66	2287	7960
81	1	039252_9	52	48	28.39	1318	7846
112	1	039253_13	102	1035	630.1	4990	7690
115	1	039253_14	49	449	269.21	3240	7604
117	1	039253_14	110	636	379.93	3517	7585
119	1	039253_15	36	537	321.81	2032	7469
124	1	039253_15	105	953	577.74	5434	7759
136	1	039253_2	34	38	22.43	232	7828
139	1	039253_2	89	429	256.55	2004	7748
141	1	039253_2	117	120	71.41	605	7811
144	1	039253_3	66	273	162.1	1435	7177
152	1	039253_5	107	44	25.8	703	7828
170	1	039253_8	59	468	280.75	3258	7670
171	1	039253_8	62	457	274.65	5164	7932
178	1	039349_0	68	469	279.32	2196	6868
181	1	039349_10	27	404	238.07	1968	7371
194	1	039349_12	45	155	120.39	448	6995
210	1	039349_15	59	424	253.68	1580	7586
221	1	039349_18	36	252	147.37	1962	7526
229	1	039349_2	38	121	70.94	1483	7748
241	1	039349_21	51	331	198.58	1262	7676
249	1	039349_22	64	785	477.04	3668	7162
261	1	039349_25	47	407	242.7	2164	7698
264	1	039349_26	18	126	74.16	788	7946
266	1	039349_26	40	45	27.45	4680	7622
270	1	039349_27	41	115	70.77	512	7573
273	1	039349_28	36	583	348.43	3097	7904
275	1	039349_28	52	147	91.7	1767	7987
281	1	039349_29	45	385	231.89	2369	6891
285	1	039349_3	46	29	16.8	1135	7037
314	1	039349_35	62	366	219.78	4426	7877
317	1	039349_36	41	89	51.8	403	7102
329	1	039349_38	60	200	119.4	1314	7279
337	1	039349_4	47	77	44.91	283	7478
342	1	039349_40	49	95	55.97	775	7207
352	1	039349_43	54	146	86.79	618	6758
368	1	039349_46	58	41	29.63	564	7493
376	1	039349_48	49	311	186.07	1585	7724
410	1	039349_54	54	305	181.37	1126	7539
436	1	039349_59	61	445	266.59	2295	7879
444	1	039349_61	18	167	99.29	1817	7160
460	1	039349_63	48	492	365.06	5854	7980
470	1	039349_64	71	430	257.4	2255	7441
474	1	039349_66	78	349	209.15	3419	7917
481	1	039349_67	78	141	83.73	973	7703
498	1	039349_7	67	99	57.95	777	7573
514	1	039349_72	65	432	266.96	2788	7972
524	1	039349_75	72	259	163.04	1015	7429
529	1	039349_76	75	291	181.26	1115	7517
554	1	039349_81	54	173	105.21	4327	7741
558	1	039349_82	52	172	103.27	768	7780
564	1	039349_83	60	287	172.86	1005	7397
568	1	039349_9	47	386	231.0	2137	7180
1	2	039252_0	35	504	309.06	2992	7860
2	2	039252_0	75	543	323.2	2814	7883
3	2	039252_0	76	607	362.92	2488	7923
5	2	039252_0	82	176	107.4	711	7241
6	2	039252_1	30	222	132.74	1573	7761
7	2	039252_1	36	401	236.69	2232	7724
8	2	039252_10	73	587	350.1	2358	7720
9	2	039252_10	103	222	139.76	1014	7832
10	2	039252_12	44	267	158.83	1080	7998
11	2	039252_12	45	145	86.63	622	7579
12	2	039252_12	88	73	43.58	852	7567
13	2	039252_12	90	210	125.68	1737	7960
14	2	039252_12	95	262	155.13	2413	7920
15	2	039252_12	114	105	62.34	1082	7998
16	2	039252_12	123	445	265.44	2115	7937
17	2	039252_12	130	1003	719.03	3893	7833
18	2	039252_13	66	230	170.34	1178	7491
19	2	039252_13	74	107	202.21	117	7567
20	2	039252_13	91	1200	738.25	5320	7749
21	2	039252_14	37	169	100.63	827	7761
22	2	039252_14	62	84	54.53	160	7788
23	2	039252_14	64	151	96.13	1873	7719
24	2	039252_14	81	177	105.6	11223	7984
25	2	039252_14	84	269	160.93	812	7762
26	2	039252_15	32	58	33.78	962	7661
28	2	039252_15	81	344	206.38	3634	7955
29	2	039252_15	82	59	34.71	826	7669
31	2	039252_16	32	226	133.38	1512	7835
32	2	039252_16	33	245	144.27	1716	7826
33	2	039252_16	40	122	72.55	1402	7840
35	2	039252_16	91	141	117.5	1321	7844
36	2	039252_16	98	28	16.2	379	7887
37	2	039252_16	108	110	80.76	461	7883
38	2	039252_16	110	261	155.64	1920	7817
39	2	039252_17	80	256	152.56	3217	7821
40	2	039252_17	88	115	68.46	638	7956
41	2	039252_17	90	323	193.67	4255	7766
42	2	039252_17	91	38	21.47	1613	7905
43	2	039252_17	104	285	194.58	1539	7909
44	2	039252_2	39	73	43.2	650	7844
45	2	039252_2	55	52	30.57	923	7833
46	2	039252_2	79	250	149.66	331	7857
48	2	039252_2	86	110	65.67	4844	7996
49	2	039252_2	87	265	162.9	1322	7817
50	2	039252_2	103	153	91.52	33810	7759
51	2	039252_2	109	256	152.0	1563	7808
53	2	039252_3	45	23	13.2	210	7895
54	2	039252_3	68	371	222.21	1919	7781
56	2	039252_3	75	56	33.0	232	7894
57	2	039252_3	90	186	116.59	522	7874
58	2	039252_4	55	257	150.83	1177	7617
59	2	039252_5	73	105	62.33	1198	7980
60	2	039252_6	26	408	246.58	1929	7979
61	2	039252_6	88	119	68.34	2493	7949
62	2	039252_6	90	108	64.42	786	7637
63	2	039252_6	98	126	74.31	1581	7997
64	2	039252_6	100	174	103.62	945	7629
65	2	039252_6	106	40	23.66	167	7668
67	2	039252_7	32	757	453.54	3895	7833
68	2	039252_7	34	235	140.22	941	7508
69	2	039252_7	37	162	96.2	776	7519
70	2	039252_7	98	190	113.38	7011	7610
71	2	039252_7	99	548	328.75	2477	7934
72	2	039252_8	32	298	177.52	2482	7808
73	2	039252_8	77	385	241.59	5299	7695
74	2	039252_8	82	277	166.33	1277	7856
75	2	039252_8	83	592	356.67	2708	7799
76	2	039252_8	93	77	45.24	1310	7855
77	2	039252_8	97	202	138.49	5219	7698
78	2	039252_8	102	179	106.89	658	7881
79	2	039252_9	31	36	21.18	119	7938
80	2	039252_9	49	244	145.19	1327	7845
82	2	039252_9	88	154	91.87	797	7886
83	2	039252_9	94	198	118.2	7525	7982
84	2	039252_9	101	170	113.38	1394	7840
85	2	039253_0	40	71	42.56	818	7392
86	2	039253_0	44	136	81.16	1190	7361
87	2	039253_0	87	168	100.08	663	7405
88	2	039253_0	99	73	46.66	763	7396
89	2	039253_0	102	25	14.4	218	7442
90	2	039253_0	110	147	87.91	634	7407
91	2	039253_1	36	380	226.71	1486	7787
92	2	039253_1	79	104	62.01	5997	7951
93	2	039253_1	98	155	92.97	5873	7957
94	2	039253_1	105	104	64.05	2299	7748
95	2	039253_1	116	732	489.46	3291	7701
96	2	039253_10	25	518	310.87	4044	7224
97	2	039253_10	35	276	165.87	2667	7362
98	2	039253_10	77	346	206.63	1713	7457
99	2	039253_10	93	395	243.45	3017	7327
100	2	039253_11	39	221	132.26	756	7726
101	2	039253_11	44	172	101.46	1677	7682
102	2	039253_11	80	56	33.0	1842	7674
103	2	039253_11	86	160	96.67	2005	7667
104	2	039253_11	106	523	311.42	2885	7625
105	2	039253_11	116	68	40.03	3985	7951
106	2	039253_12	35	344	205.78	3052	7861
107	2	039253_12	41	97	62.96	1261	7981
108	2	039253_12	69	65	38.74	266	7544
109	2	039253_12	88	70	42.69	350	7539
110	2	039253_13	39	84	50.03	535	7442
111	2	039253_13	73	240	141.67	1008	7405
113	2	039253_13	103	398	247.98	2442	7903
114	2	039253_14	47	521	312.04	3045	7617
116	2	039253_14	84	247	143.51	15445	7835
118	2	039253_15	30	525	314.27	2313	7982
120	2	039253_15	45	176	106.83	1421	7510
121	2	039253_15	77	323	192.81	1590	7498
122	2	039253_15	81	142	85.76	5744	7737
123	2	039253_15	99	176	104.92	2058	7467
125	2	039253_16	51	65	38.58	802	7153
126	2	039253_16	95	100	57.78	174	7232
127	2	039253_16	98	448	267.34	1729	7037
128	2	039253_16	109	340	202.47	1754	7034
129	2	039253_16	119	489	307.41	1928	7013
130	2	039253_17	44	468	600.63	2165	7845
131	2	039253_17	77	140	83.86	1973	7854
132	2	039253_17	91	210	122.12	10723	7807
133	2	039253_17	115	144	85.8	720	7917
134	2	039253_17	127	1327	835.58	7567	7973
135	2	039253_2	13	424	253.0	3246	7691
137	2	039253_2	75	149	93.66	2045	7746
138	2	039253_2	77	547	324.8	4626	7992
140	2	039253_2	102	656	391.2	4216	7647
142	2	039253_3	29	200	118.69	1441	7177
143	2	039253_3	61	330	197.62	2073	7098
145	2	039253_3	79	153	94.35	1762	7137
146	2	039253_4	79	64	37.32	6269	7460
147	2	039253_4	80	359	214.57	5678	7506
148	2	039253_4	91	549	328.65	6428	7448
149	2	039253_4	95	619	377.65	5901	7489
150	2	039253_5	32	225	134.03	1341	7801
151	2	039253_5	53	193	149.97	902	7819
153	2	039253_5	121	142	94.4	1447	7797
154	2	039253_6	31	107	62.31	510	7781
155	2	039253_6	34	425	256.46	2292	7644
156	2	039253_6	41	139	83.88	1573	7700
157	2	039253_6	76	133	79.61	1709	7689
158	2	039253_6	79	130	77.23	769	7761
159	2	039253_6	82	692	418.56	8899	7731
160	2	039253_6	85	45	27.14	171	7807
161	2	039253_6	90	116	159.72	484	7783
162	2	039253_7	64	424	251.93	1555	7806
163	2	039253_7	80	255	152.09	1968	7769
164	2	039253_7	92	142	83.9	638	7890
165	2	039253_8	27	50	29.51	742	7780
166	2	039253_8	28	331	197.8	1455	7749
167	2	039253_8	31	644	384.59	2702	7695
168	2	039253_8	40	415	247.29	1324	7754
169	2	039253_8	53	62	37.79	2383	7708
172	2	039253_8	64	38	22.2	2062	7722
173	2	039253_9	42	450	269.26	4049	7702
174	2	039253_9	75	258	153.02	2661	7768
175	2	039253_9	108	129	76.54	873	7853
176	2	039253_9	111	121	71.78	584	7867
177	2	039349_0	28	61	35.37	416	7164
179	2	039349_1	52	123	81.0	360	6820
180	2	039349_1	62	519	321.18	1939	6294
182	2	039349_10	54	114	85.63	1256	7442
183	2	039349_10	58	292	172.55	1922	7375
184	2	039349_11	19	83	48.83	414	7655
185	2	039349_11	24	524	314.44	2471	7362
186	2	039349_11	41	58	34.02	213	7684
187	2	039349_11	43	89	53.28	2047	7422
188	2	039349_11	46	146	87.73	1858	7449
189	2	039349_11	47	519	309.41	2437	7366
190	2	039349_12	19	383	228.76	1577	7972
191	2	039349_12	24	502	301.93	1662	7958
192	2	039349_12	27	46	26.87	150	7037
